Mon Sep 19 15:13:49 2022    output.dat

         656978839 function calls (637454548 primitive calls) in 375.708 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   228457    0.629    0.000    6.283    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
1137653/1130492    0.622    0.000    0.623    0.000 {built-in method _abc._abc_subclasscheck}
  1366051    0.621    0.000    1.238    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
  1362266    0.619    0.000    1.629    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
  1361573    0.619    0.000    1.545    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
  1361596    0.612    0.000    0.731    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
  1667963    0.590    0.000    0.590    0.000 {method '__copy__' of 'numpy.ndarray' objects}
   228457    0.590    0.000    3.596    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:4142(sigmoid)
   228457    0.590    0.000    1.699    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2573(_set_mask_metadata)
  2802488    0.581    0.000    2.541    0.000 {built-in method builtins.hasattr}
   457804    0.568    0.000    1.127    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:155(is_compatible_with)
  2505420    0.568    0.000    2.591    0.000 /home/marie/anaconda3/lib/python3.9/abc.py:117(__instancecheck__)
  4075874    0.564    0.000    0.566    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:580(ensure_initialized)
  6869178    0.561    0.000    0.561    0.000 {built-in method builtins.id}
   349629    0.552    0.000    3.994    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1728(_add_dispatch)
   456920    0.535    0.000    0.730    0.000 /home/marie/anaconda3/lib/python3.9/_collections_abc.py:980(__iter__)
   231518    0.533    0.000    1.380    0.000 /home/marie/anaconda3/lib/python3.9/contextlib.py:489(__exit__)
   228455    0.522    0.000   79.070    0.000 /home/marie/backgammon/code/network.py:21(call)
  1361576    0.508    0.000    0.508    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:985(scope_name)
  1130036    0.498    0.000    2.695    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:894(_check_index)
  1600990    0.491    0.000    1.247    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:63(base_dtype)
  1130038    0.481    0.000    0.481    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6706(<genexpr>)
   456968    0.477    0.000    0.477    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:436(__getattr__)
   463028    0.475    0.000    0.475    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   453865    0.471    0.000    4.411    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_math_ops.py:6558(mul)
   682539    0.447    0.000    0.447    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   228454    0.445    0.000    1.515    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/resource_variable_ops.py:553(_shape_as_list)
