Sat Sep 24 14:33:42 2022    output.dat

         4694406647 function calls (4553755579 primitive calls) in 5127.018 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  8193464    9.182    0.000   10.271    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
8189101/8179006    5.223    0.000   11.884    0.000 {built-in method builtins.next}
  8159874    6.320    0.000    6.320    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6706(<genexpr>)
  8159872   17.317    0.000  206.845    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_array_ops.py:10522(strided_slice)
  8159872    7.132    0.000   37.256    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:894(_check_index)
  8159872  141.808    0.000 1683.709    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:914(_slice_helper)
  8159872   13.679    0.000  220.524    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/array_ops.py:1168(strided_slice)
  8145134   16.823    0.000  115.672    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1343(maybe_promote_tensors)
  6968590    0.861    0.000    0.861    0.000 {method 'copy' of 'list' objects}
  6712026    5.974    0.000    5.974    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNested}
  6590287    1.126    0.000    1.126    0.000 {method 'pop' of 'dict' objects}
  6572454    3.121    0.000    8.028    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:912(<genexpr>)
  6557762    3.493    0.000    4.636    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:839(rank)
  6526461   14.421    0.000   54.743    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:1256(shape)
  6514376    4.084    0.000   13.940    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
4937280/1645760   20.637    0.000  106.736    0.000 /home/marie/anaconda3/lib/python3.9/copy.py:226(_deepcopy_dict)
  4920315   12.640    0.000   39.320    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:765(__init__)
4897080/4894491    5.149    0.000   27.547    0.000 {built-in method builtins.any}
  4891362    7.506    0.000    7.506    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
  4890559    5.084    0.000  128.296    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:46(_default_conversion_function)
  4885604   19.756    0.000  157.517    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1398(binary_op_wrapper)
3794118/17220   19.808    0.000   23.552    0.001 /home/marie/backgammon/code/agent.py:66(build_actions)
  3413984    0.927    0.000    0.927    0.000 {built-in method builtins.callable}
  3312906    6.350    0.000   13.448    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:651(_pack_sequence_as)
  3312082    2.941    0.000   16.370    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:691(pack_sequence_as)
  3291520   10.940    0.000   10.940    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
  3291500    7.019    0.000    7.019    0.000 {method 'flatten' of 'numpy.ndarray' objects}
  3278451    7.645    0.000    7.653    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:436(__getattr__)
3278433/3278428    4.883    0.000  300.654    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:916(<listcomp>)
3278433/3278428   22.041    0.000  348.989    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/nest.py:808(map_structure)
  3276769    3.111    0.000    3.111    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/training/tracking/data_structures.py:436(__getitem__)
  3275103    0.968    0.000    0.968    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:1053(name)
  3266636    7.829    0.000   14.985    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:155(is_compatible_with)
  3257077    2.732    0.000    3.085    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:3384(<genexpr>)
  3257075    6.383    0.000   60.663    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/gen_math_ops.py:6558(mul)
  3257074    3.881    0.000    4.347    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:951(<genexpr>)
  3257074    8.560    0.000   11.662    0.000 /home/marie/anaconda3/lib/python3.9/_collections_abc.py:980(__iter__)
  3257071    4.241    0.000   64.903    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:480(multiply)
  3257070    9.070    0.000   24.891    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
  3257070   15.844    0.000  237.992    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1435(r_binary_op_wrapper)
  3257068    1.605    0.000    8.227    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2584(<genexpr>)
  3257068    0.865    0.000    0.865    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2622(<genexpr>)
  3257067    5.366    0.000   95.897    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1759(_mul_dispatch)
  3257065    1.170    0.000    1.170    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/resource_variable_ops.py:545(shape)
