Mon Sep 19 13:15:09 2022    output.dat

         4473895 function calls (4140943 primitive calls) in 1.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      586    0.002    0.000    0.040    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2449(_maybe_cast_inputs)
       50    0.002    0.000    1.651    0.033 /home/marie/backgammon/code/agent.py:361(choose_action)
      595    0.002    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/util/tf_decorator.py:61(make_decorator)
     4680    0.002    0.000    0.029    0.000 <__array_function__ internals>:2(append)
     4167    0.002    0.000    0.002    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:50(_is_ref_dtype)
     3085    0.002    0.000    0.002    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/dtypes.py:678(as_dtype)
     4680    0.002    0.000    0.009    0.000 <__array_function__ internals>:2(ravel)
     1420    0.002    0.000    0.002    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     4820    0.002    0.000    0.002    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     9360    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
     1145    0.002    0.000    0.013    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/math_ops.py:1728(_add_dispatch)
     3544    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:723(as_dimension)
    10543    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/eager/context.py:580(ensure_initialized)
     1171    0.002    0.000    0.005    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/keras/engine/base_layer.py:2477(_should_cast_single_input)
      586    0.002    0.000    0.017    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/ops/nn_ops.py:3479(bias_add)
     3519    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
     3546    0.002    0.000    0.004    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/tensor_shape.py:775(<genexpr>)
     3520    0.002    0.000    0.002    0.000 /home/marie/anaconda3/lib/python3.9/site-packages/tensorflow/python/framework/ops.py:6905(__init__)
